client_id,author_id
16217,1653
16086,1653
16218,1653
16219,1653
16211,1653
16211,1653
16220,1653
16215,1653
16221,1653
16222,1653
16092,1653
16223,1653
16223,1653
16233,1653
16235,1653
16238,1647
16238,1647
16238,1647
16239,1647
16239,1647
16239,1647
16240,1647
16240,1647
16240,1647
16241,1647
16241,1647
16242,1647
16242,1647
16243,1647
16243,1647
16243,1647
16245,1647
16245,1647
16245,1647
16247,1647
16247,1647
16247,1647
16392,1603
16391,1603
16249,1647
16249,1647
16249,1647
16250,1653
16250,1653
16251,1653
16252,1653
16253,1653
16209,1647
16226,1653
16209,1653
16270,1647
16254,1653
16255,1653
16256,1653
16240,1653
16240,1653
16250,1653
16111,1637
16232,1637
16245,1637
16257,1637
16234,1637
16237,1637
16237,1637
16245,1637
16245,1637
12831,1647
16262,1647
16245,1653
16263,1653
16236,1653
16049,1653
16264,1653
16265,1647
16266,1647
16266,1647
16265,1647
16267,1647
16267,1647
16268,1647
16268,1647
16269,1647
16269,1647
16270,1647
16271,1647
16271,1647
16272,1647
16272,1647
16236,1647
16236,1647
16273,1647
16273,1647
16274,1647
16274,1647
16273,1647
16057,1647
16057,1647
16161,1647
16237,1647
16039,1647
16234,1653
16275,1653
16276,1653
16277,1598
16278,1653
16235,1653
16264,1653
16237,1598
16279,1653
16280,1598
16280,1598
16280,1598
16256,1598
16281,1598
16281,1598
16282,1653
16209,1653
16283,1653
16284,1598
16284,1598
16237,1653
16285,1598
14581,1598
16209,1598
16286,1598
16288,1653
16236,1653
16289,1653
16209,1653
16209,1647
16290,1647
16290,1647
16290,1647
16236,1647
16257,1647
14581,1637
16290,1637
14554,1653
16291,1653
14581,1637
16292,1637
16234,1637
16293,1637
16169,1637
16295,1637
16295,1637
16296,1637
16296,1637
16297,1637
16297,1637
16209,1637
16298,1637
16298,1637
16299,1637
16299,1637
16299,1598
16298,1598
16297,1598
16295,1598
16294,1598
16169,1598
16292,1598
16293,1598
16301,1647
16301,1647
16296,1647
16296,1637
16296,1637
16236,1637
17005,1598
17005,1598
16236,1598
16303,1647
16303,1647
16303,1647
16304,1647
16304,1647
16304,1647
16209,1637
16305,1653
16306,1653
16307,1653
16308,1653
16309,1653
16310,1653
16311,1653
16312,1653
16313,1653
16314,1653
16315,1653
16234,1653
16214,1653
16316,1653
16317,1653
16319,1598
16320,1598
16321,1598
16322,1598
16318,1598
16318,1598
16319,1598
16320,1598
16323,1598
16323,1598
16322,1598
16324,1598
16324,1598
16321,1598
14581,1598
16326,1647
16326,1647
16327,1647
16327,1647
16327,1647
16328,1647
16328,1647
16329,1655
16330,1655
16332,1655
16333,1655
16334,1655
16335,1655
16336,1655
16337,1655
16338,1655
16355,1655
16353,1701
16504,1689
16340,1655
16341,1655
16342,1655
16343,1655
16344,1655
16345,1655
16346,1655
16469,1655
16470,1603
16347,1655
16348,1655
16349,1655
10321,1659
16358,1613
16355,1613
16359,1613
16357,1613
16360,1613
16361,1613
16353,1613
16362,1613
16363,1613
16364,1613
16365,1613
16366,1613
16367,1613
16368,1613
16369,1613
16360,1613
16370,1655
16371,1655
16360,1655
16372,1655
16374,1655
16374,1655
16373,1655
16375,1655
16376,1655
16375,1647
16374,1647
16343,1647
16377,1647
16374,1647
16334,1647
16374,1647
16378,1628
16378,1628
16379,1628
16380,1628
16380,1628
16379,1628
16381,1628
16381,1628
16382,1628
16382,1628
16383,1655
16384,1655
16385,1655
16386,1655
16387,1655
16388,1655
16355,1655
16389,1655
16390,1651
16375,1651
16391,1655
16392,1655
16393,1655
16394,1655
16395,1655
16504,1655
16397,1655
16398,1613
16398,1613
16399,1613
16400,1613
16401,1662
16402,1662
16403,1662
16329,1655
16408,1655
16409,1655
16373,1655
16404,1671
16404,1655
16358,1655
16402,1671
16402,1671
16404,1671
10321,1655
16337,1655
16408,1655
16411,1655
16411,1655
16340,1664
16340,1664
16412,1651
16413,1651
16415,1689
16416,1689
16417,1689
16429,1689
16419,1689
16420,1655
16421,1655
16420,1655
16421,1655
16422,1655
16422,1655
16423,1655
16423,1655
16424,1655
16424,1655
16390,1619
16428,1655
16428,1655
16427,1655
16427,1655
16414,1672
16434,1613
16435,1613
16438,1613
16440,1613
16441,1613
16442,1613
16448,1672
16449,1613
16448,1672
16330,1613
16332,1613
16336,1613
16329,1671
16371,1671
16371,1671
16367,1671
16450,1671
16391,1647
16572,1647
16452,1671
16454,1662
16456,1662
16457,1662
16458,1662
16459,1662
16329,1701
16539,1701
16373,1662
16460,1662
16461,1662
16462,1662
16463,1662
16464,1662
16467,1655
16465,1655
16465,1655
16466,1655
16434,1655
16468,1655
16471,1603
16434,1603
16472,1603
16450,1603
16412,1655
16473,1655
16474,1655
16475,1655
16475,1655
16476,1655
16476,1655
16477,1655
16477,1655
16478,1655
16478,1655
16479,1665
16480,1665
16481,1665
16482,1689
16483,1689
16484,1689
16485,1689
16486,1689
16487,1689
16507,1671
16489,1689
16490,1689
16491,1689
16392,1713
16440,1689
16392,1713
16489,1714
16495,1647
16495,1647
16476,1655
16476,1655
16487,1647
16484,1647
16438,1647
16438,1647
16496,1655
16496,1655
16435,1647
16494,1647
16363,1647
16366,1647
16353,1647
16498,1655
16498,1655
16499,1655
16347,1647
16348,1647
16499,1655
16391,1655
16391,1655
16368,1647
16359,1647
16500,1655
16500,1655
16364,1647
16398,1655
16398,1655
16398,1655
16364,1647
16501,1647
16502,1655
16502,1655
16503,1655
16501,1647
16503,1655
16505,1613
16506,1613
16507,1613
16492,1613
16432,1613
16437,1613
16492,1613
16437,1613
16460,1662
16371,1662
16440,1662
16362,1662
16349,1662
16508,1655
16508,1655
16419,1662
16342,1655
16344,1655
16338,1655
16362,1655
16504,1655
16504,1655
16429,1655
16461,1655
16461,1655
16398,1603
16512,1603
16502,1603
16506,1603
16504,1603
16513,1603
16494,1603
16493,1603
16492,1603
16491,1603
16486,1603
16485,1603
16483,1603
16514,1671
16494,1671
16514,1671
16494,1671
16515,1671
16515,1671
16514,1720
16516,1665
16516,1665
16341,1647
16416,1647
16369,1647
16386,1647
16387,1647
16372,1647
16442,1647
16388,1647
16412,1647
16459,1647
16486,1680
16545,1680
16517,1680
16522,1680
16523,1680
15814,1680
16437,1680
16524,1680
16524,1713
16485,1680
16522,1680
16499,1655
16333,1655
16346,1655
16357,1655
16376,1655
16389,1655
16528,1655
16545,1655
16529,1655
16529,1655
16529,1655
16529,1655
16436,1655
16409,1655
16361,1655
16485,1664
16529,1664
16439,1655
16524,1670
16531,1689
16524,1689
16529,1689
16533,1689
16346,1689
16506,1689
16535,1689
16535,1689
16537,1725
16537,1725
16538,1726
16538,1726
16486,1714
16539,1715
16460,1717
16540,1638
16541,1638
16542,1655
16542,1655
16517,1647
16345,1718
16506,1718
16469,1647
16535,1655
16535,1655
14828,1603
16543,1603
16543,1603
15224,1603
15814,1598
16346,1598
16360,1598
16524,1701
16544,1603
16529,1671
16545,1671
16547,1671
16548,1671
16549,1671
16550,1671
16551,1665
16552,1720
16553,1720
16554,1720
16529,1720
16553,1655
16553,1655
16553,1655
16338,1655
16338,1655
16555,1655
16555,1655
16529,1655
16529,1655
16545,1655
16557,1655
16558,1655
16558,1655
16558,1655
16462,1725
16545,1655
16531,1726
16439,1713
16449,1613
16559,1647
16560,1647
16561,1647
16561,1647
16549,1689
16562,1689
16547,1717
16564,1717
16565,1717
16566,1680
16568,1715
16524,1680
14295,1671
16583,1671
16481,1603
16567,1713
16567,1713
16567,1717
16570,1680
16571,1717
16572,1680
16569,1715
16548,1717
16437,1735
16437,1717
16524,1701
16403,1647
16391,1647
16401,1647
16574,1655
16574,1655
16432,1647
10321,1647
16441,1731
16456,1731
16575,1603
16463,1731
16468,1731
16473,1731
16464,1731
16373,1637
16454,1637
16415,1637
16417,1637
16524,1701
16434,1671
16474,1701
16446,1647
16446,1647
16461,1735
16482,1735
16452,1613
16466,1613
16467,1613
16545,1613
16519,1613
16578,1671
16579,1671
16580,1671
16581,1662
16581,1662
16570,1662
16461,1655
16582,1713
16365,1713
16533,1713
16566,1713
16565,1713
16586,1671
16586,1671
16587,1671
16587,1671
16588,1671
16589,1665
16590,1665
16578,1647
16434,1647
16458,1647
16582,1647
17065,1647
17065,1647
16547,1647
16564,1647
16583,1647
16523,1647
16436,1647
16580,1647
16568,1647
16434,1647
16591,1680
16583,1680
16592,1680
16593,1680
16591,1655
16594,1655
16583,1655
16595,1655
16595,1655
16596,1655
16596,1655
16597,1655
16597,1655
16598,1655
16598,1655
16595,1655
16599,1655
16599,1655
16600,1655
16600,1655
16329,1670
16371,1670
16379,1670
16379,1670
16379,1670
16379,1730
16591,1730
16613,1730
16613,1730
16602,1714
16613,1714
16603,1714
16603,1714
16603,1714
16604,1725
16604,1725
16602,1715
14295,1716
16597,1655
16597,1655
16605,1655
16605,1655
16606,1655
16606,1655
